╰─ ./profile_sec2_new 25 1
function: dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | split | karatsuba | avx2 | avx2 loop-unrolled | avx512 | avx512 loop-unrolled
bitsize: 25

len/func        s-novec         s-vec           s-unr           split           kara            avx2            avx2u   avx512          avx512u
149             5.080e-08       6.720e-08       4.310e-08       2.900e-08       3.290e-08       1.180e-08       1.120e-08       1.160e-08       1.210e-08
150             5.350e-08       6.780e-08       4.350e-08       2.920e-08       3.310e-08       1.280e-08       1.290e-08       1.400e-08       1.440e-08
151             5.300e-08       6.670e-08       4.410e-08       2.940e-08       3.290e-08       1.330e-08       1.300e-08       1.430e-08       1.400e-08
152             5.140e-08       6.890e-08       4.510e-08       2.720e-08       3.200e-08       1.190e-08       1.230e-08       1.120e-08       1.150e-08
153             5.140e-08       6.950e-08       4.510e-08       2.720e-08       3.210e-08       1.200e-08       1.190e-08       1.140e-08       1.170e-08
154             5.510e-08       6.880e-08       4.520e-08       2.830e-08       3.280e-08       1.390e-08       1.340e-08       1.400e-08       1.370e-08
155             5.660e-08       6.850e-08       4.520e-08       2.900e-08       3.330e-08       1.340e-08       1.340e-08       1.390e-08       1.380e-08
156             5.510e-08       6.910e-08       4.630e-08       2.920e-08       3.520e-08       1.240e-08       1.180e-08       1.230e-08       1.210e-08
157             5.560e-08       7.010e-08       4.570e-08       2.960e-08       3.430e-08       1.250e-08       1.210e-08       1.230e-08       1.240e-08
158             5.550e-08       6.930e-08       4.610e-08       3.160e-08       3.420e-08       1.420e-08       1.370e-08       1.540e-08       1.440e-08
159             5.590e-08       7.000e-08       4.610e-08       3.070e-08       3.450e-08       1.440e-08       1.400e-08       1.450e-08       1.440e-08
160             5.320e-08       6.980e-08       4.760e-08       2.850e-08       3.450e-08       1.260e-08       1.140e-08       1.190e-08       1.220e-08
161             5.590e-08       7.290e-08       4.700e-08       2.850e-08       3.370e-08       1.270e-08       1.170e-08       1.210e-08       1.200e-08
162             5.900e-08       7.110e-08       4.700e-08       3.100e-08       3.370e-08       1.430e-08       1.400e-08       1.480e-08       1.470e-08
163             5.820e-08       7.140e-08       4.790e-08       3.010e-08       3.390e-08       1.450e-08       1.400e-08       1.450e-08       1.480e-08
164             5.740e-08       7.060e-08       4.860e-08       3.070e-08       3.660e-08       1.300e-08       1.230e-08       1.310e-08       1.280e-08
165             5.690e-08       7.150e-08       4.810e-08       3.140e-08       3.580e-08       1.340e-08       1.170e-08       1.270e-08       1.320e-08
166             5.800e-08       7.270e-08       4.900e-08       3.180e-08       3.640e-08       1.450e-08       1.510e-08       1.510e-08       1.510e-08
167             5.920e-08       7.250e-08       4.860e-08       3.190e-08       3.660e-08       1.450e-08       1.450e-08       1.520e-08       1.520e-08
168             5.940e-08       7.190e-08       4.910e-08       3.030e-08       3.520e-08       1.320e-08       1.260e-08       1.300e-08       1.230e-08
169             5.840e-08       7.310e-08       4.990e-08       3.040e-08       3.500e-08       1.380e-08       1.220e-08       1.250e-08       1.270e-08
170             6.080e-08       7.260e-08       4.940e-08       3.130e-08       3.600e-08       1.480e-08       1.500e-08       1.520e-08       1.510e-08
171             6.170e-08       7.410e-08       4.930e-08       3.200e-08       3.550e-08       1.490e-08       1.530e-08       1.520e-08       1.530e-08
172             5.990e-08       7.420e-08       5.090e-08       3.200e-08       3.780e-08       1.360e-08       1.310e-08       1.330e-08       1.310e-08
173             6.070e-08       7.390e-08       5.030e-08       3.250e-08       3.750e-08       1.360e-08       1.280e-08       1.410e-08       1.350e-08
174             6.190e-08       7.540e-08       5.130e-08       3.340e-08       3.820e-08       1.510e-08       1.500e-08       1.620e-08       1.600e-08
175             6.240e-08       7.560e-08       5.030e-08       3.360e-08       3.750e-08       1.520e-08       1.570e-08       1.580e-08       1.610e-08
176             6.080e-08       7.500e-08       5.200e-08       3.130e-08       3.710e-08       1.380e-08       1.330e-08       1.290e-08       1.290e-08
177             6.250e-08       7.520e-08       5.180e-08       3.110e-08       3.670e-08       1.380e-08       1.330e-08       1.330e-08       1.310e-08
178             6.330e-08       7.600e-08       5.260e-08       3.260e-08       3.770e-08       1.520e-08       1.500e-08       1.620e-08       1.570e-08
179             6.350e-08       7.540e-08       5.250e-08       3.330e-08       3.690e-08       1.600e-08       1.540e-08       1.610e-08       1.610e-08
180             6.200e-08       7.920e-08       5.260e-08       3.400e-08       3.850e-08       1.470e-08       1.330e-08       1.410e-08       1.470e-08
